,close,Company,Date
74902,64.550003,VRSK,2014-01-30
74903,63.860001,VRSK,2014-01-31
74904,62.779999,VRSK,2014-02-03
74905,62.740002,VRSK,2014-02-04
74906,62.279999,VRSK,2014-02-05
74907,62.330002,VRSK,2014-02-06
74908,62.400002,VRSK,2014-02-07
74909,62.299999,VRSK,2014-02-10
74910,62.779999,VRSK,2014-02-11
74911,63.279999,VRSK,2014-02-12
74912,65.889999,VRSK,2014-02-13
74913,65.650002,VRSK,2014-02-14
74914,65.209999,VRSK,2014-02-18
74915,65.489998,VRSK,2014-02-19
74916,66.050003,VRSK,2014-02-20
74917,65.529999,VRSK,2014-02-21
74918,65.379997,VRSK,2014-02-24
74919,65.199997,VRSK,2014-02-25
74920,63.779999,VRSK,2014-02-26
74921,63.790001,VRSK,2014-02-27
74922,63.720001,VRSK,2014-02-28
74923,63.41,VRSK,2014-03-03
74924,63.470001,VRSK,2014-03-04
74925,62.099998,VRSK,2014-03-05
74926,62.580002,VRSK,2014-03-06
74927,62.240002,VRSK,2014-03-07
74928,63.849998,VRSK,2014-03-10
74929,63.73,VRSK,2014-03-11
74930,63.290001,VRSK,2014-03-12
74931,62.360001,VRSK,2014-03-13
74932,62.369999,VRSK,2014-03-14
74933,62.880001,VRSK,2014-03-17
74934,62.939999,VRSK,2014-03-18
74935,62.830002,VRSK,2014-03-19
74936,62.470001,VRSK,2014-03-20
74937,62.48,VRSK,2014-03-21
74938,61.619999,VRSK,2014-03-24
74939,61.220001,VRSK,2014-03-25
74940,60.77,VRSK,2014-03-26
74941,60.5,VRSK,2014-03-27
74942,59.869999,VRSK,2014-03-28
74943,59.959999,VRSK,2014-03-31
74944,63.970001,VRSK,2015-01-02
74945,63.139999,VRSK,2015-01-05
74946,62.919998,VRSK,2015-01-06
74947,62.959999,VRSK,2015-01-07
74948,63.59,VRSK,2015-01-08
74949,63.09,VRSK,2015-01-09
74950,62.970001,VRSK,2015-01-12
74951,63.43,VRSK,2015-01-13
74952,62.970001,VRSK,2015-01-14
74953,62.700001,VRSK,2015-01-15
74954,62.900002,VRSK,2015-01-16
74955,63.200001,VRSK,2015-01-20
74956,63.43,VRSK,2015-01-21
74957,64.260002,VRSK,2015-01-22
74958,65.110001,VRSK,2015-01-23
74959,64.910004,VRSK,2015-01-26
74960,64.300003,VRSK,2015-01-27
74961,64.010002,VRSK,2015-01-28
